var,phi,beta,std(phi),std(beta),dof,t(phi),p(phi),t(beta),p(beta)
anticipated_each_other_sr6,0.001915454869188432,0.00017855628803790894,0.0012444143616972823,0.0006601644876730136,49,8.899659018867064,8.323342015614799e-12,2.6728169165062003,0.010186966818132692
developed_joint_perspective_sr2,-0.0029885011474964467,-0.0005285163902559107,0.0017977107169619864,0.0015358594704005433,49,-8.92615925468452,7.598144335929646e-12,-2.474415227700831,0.01685546289952078
our_thoughts_synced_up_sr1,0.001209907542080843,-0.0011175391167362525,0.0012870241895717638,0.0014555377928096274,49,6.671698256485451,2.1403949057585692e-08,-6.064127658700656,1.8640510868195292e-07
saw_world_in_same_way_sr8,0.0006269964005813741,-0.000641956138981438,0.0013210326993805628,0.001020073797939231,49,2.826451407024581,0.006794395531407371,-4.148490337295576,0.00013266303578785
shared_reality,-0.0005027732267845143,-0.001327547513648233,0.0018395210620664566,0.0013516253344165684,49,-3.5823811884214845,0.0007813041079030025,-7.605797798263006,7.690059700138363e-10
thoughts_became_more_alike_sr5,0.0011611768987021633,-0.001624687820453964,0.0006872459050628531,0.0009818345248494122,49,13.362276516078047,0.0,-10.932312270898771,9.547918011776346e-15
