param,beta,sd,k,se,t,p
nx,0.15093241603177499,0.018812655958701522,1289,0.0005239907912157174,288.0440239829308,0.0
ny,-0.02259234365183783,0.011526098097570344,1289,0.00032103756508566477,-70.37289747014295,0.0
Intercept,-0.0850797210030851,1.2075340907623549,1289,0.03363356801014877,-2.5296073546943543,0.005768739923696087
self,-0.4005728423547133,4.229166355572477,1289,0.11779539421249635,-3.4005815340462475,0.0003465076236773834
other,-0.02388666401115021,1.2459951370181068,1289,0.034704827384836594,-0.6882807324259129,0.24569997690419698
turn_delta_self,0.1386702122679365,3.355875939428613,1289,0.093471548758624,1.483555307573122,0.06908579243541169
turn_delta_other,0.02108448596007748,0.8763739261014241,1289,0.02440973076565024,0.8637738024438968,0.19393649174183125
