param,beta,sd,k,se,t,p
nx,0.15119219644109938,0.01778255132625947,1262,0.0005005695105792947,302.0403625185421,0.0
ny,-0.022630089104694686,0.007345165428076332,1262,0.00020676256156936548,-109.44964568502242,0.0
Intercept,-0.1677855392998266,0.17370760025069934,1262,0.004889778010256232,-34.3135289471013,0.0
self,-0.14723453182364102,0.14542949142902362,1262,0.004093764050658018,-35.965563721234744,0.0
other,0.015345491724943882,0.1591155893956566,1262,0.004479020543677731,3.4260820139806003,0.00031602802933916596
turn_delta_self,0.024752255569256483,0.04860505250314696,1262,0.0013682067829745449,18.0910194842361,0.0
turn_delta_other,-0.0023400777654563965,0.043304949022602776,1262,0.0012190116446280112,-1.9196516914081534,0.027563668114000794
