param,beta,sd,k,se,t,p
nx,0.15735093917034887,0.0844647730987914,4518,0.0012566157723595147,125.21802020270295,0.0
ny,-0.02701330672984194,0.03450006305301961,4518,0.0005132710571437328,-52.62970969017122,0.0
Intercept,-0.04482802784417134,0.9931967871373419,4518,0.014776180672548777,-3.0338034460727026,0.0012143261849838494
self,-0.22415664479713418,1.3759323019294996,4518,0.020470288013220074,-10.950341521935101,0.0
other,0.08972419024952671,1.029162783735591,4518,0.015311261001730827,5.860013113184084,2.478670824146434e-09
turn_delta_self,0.02082983430544933,0.6906877988055967,4518,0.0102756350359249,2.0271091988597916,0.021354931043412684
turn_delta_other,-0.013157558107906009,0.34880428387331924,4518,0.005189299023737628,-2.5355174268661025,0.005630787075302179
