corpus,cid,param,beta,k
CABNC,CABNC-KBWRE01F-KBW.parquet,nx,0.17314876818166428,838
CABNC,CABNC-KBWRE01F-KBW.parquet,ny,-0.03391217792528578,838
CABNC,CABNC-KBWRE01F-KBW.parquet,Intercept,-0.01944762525803094,838
CABNC,CABNC-KBWRE01F-KBW.parquet,self,-1.6804269636270281,838
CABNC,CABNC-KBWRE01F-KBW.parquet,other,-0.06677491191427262,838
CABNC,CABNC-KBWRE01F-KBW.parquet,turn_delta_self,0.6348921142863109,838
CABNC,CABNC-KBWRE01F-KBW.parquet,turn_delta_other,0.1309873987218509,838
CABNC,CABNC-KB8RE00L-KB8.parquet,nx,0.18259414674581198,6582
CABNC,CABNC-KB8RE00L-KB8.parquet,ny,-0.015444516903446639,6582
CABNC,CABNC-KB8RE00L-KB8.parquet,Intercept,-0.3905201195524249,6582
CABNC,CABNC-KB8RE00L-KB8.parquet,self,-0.029417097583859127,6582
CABNC,CABNC-KB8RE00L-KB8.parquet,other,0.05329202912592572,6582
CABNC,CABNC-KB8RE00L-KB8.parquet,turn_delta_self,-0.021694302365081186,6582
CABNC,CABNC-KB8RE00L-KB8.parquet,turn_delta_other,-0.01523265199957774,6582
CABNC,CABNC-KC4RE00C-KC4.parquet,nx,0.1520237037600749,8868
CABNC,CABNC-KC4RE00C-KC4.parquet,ny,-0.018770277082510972,8868
CABNC,CABNC-KC4RE00C-KC4.parquet,Intercept,0.05492685217773002,8868
CABNC,CABNC-KC4RE00C-KC4.parquet,self,-0.5152951996508787,8868
CABNC,CABNC-KC4RE00C-KC4.parquet,other,-0.23234285676157984,8868
CABNC,CABNC-KC4RE00C-KC4.parquet,turn_delta_self,0.0795024766236094,8868
CABNC,CABNC-KC4RE00C-KC4.parquet,turn_delta_other,0.0023676967262005718,8868
CABNC,CABNC-KBKRE05N-KBK.parquet,nx,0.1779280278146132,189
CABNC,CABNC-KBKRE05N-KBK.parquet,ny,-0.020044675977715712,189
CABNC,CABNC-KBKRE05N-KBK.parquet,Intercept,0.08953755300313997,189
CABNC,CABNC-KBKRE05N-KBK.parquet,self,-0.35710992017828935,189
CABNC,CABNC-KBKRE05N-KBK.parquet,other,-0.0356829804737562,189
CABNC,CABNC-KBKRE05N-KBK.parquet,turn_delta_self,-0.3128875925500053,189
CABNC,CABNC-KBKRE05N-KBK.parquet,turn_delta_other,-0.1333009160249509,189
CANDOR,CANDOR-29-5a69b66a-61bc-45b5-98bd-ffb14fb1e1ec.parquet,nx,0.10504983671819174,40347
CANDOR,CANDOR-29-5a69b66a-61bc-45b5-98bd-ffb14fb1e1ec.parquet,ny,-0.019780695683251494,40347
CANDOR,CANDOR-29-5a69b66a-61bc-45b5-98bd-ffb14fb1e1ec.parquet,Intercept,0.3623915508984896,40347
CANDOR,CANDOR-29-5a69b66a-61bc-45b5-98bd-ffb14fb1e1ec.parquet,self,-0.07778149030392797,40347
CANDOR,CANDOR-29-5a69b66a-61bc-45b5-98bd-ffb14fb1e1ec.parquet,other,-0.08498574319066404,40347
CANDOR,CANDOR-29-5a69b66a-61bc-45b5-98bd-ffb14fb1e1ec.parquet,turn_delta_self,-0.018615891193803632,40347
CANDOR,CANDOR-29-5a69b66a-61bc-45b5-98bd-ffb14fb1e1ec.parquet,turn_delta_other,-0.017670251323853223,40347
CANDOR,CANDOR-9-97087c78-d2a1-4959-b72a-80f858a0afac.parquet,nx,0.12609925751384118,47064
CANDOR,CANDOR-9-97087c78-d2a1-4959-b72a-80f858a0afac.parquet,ny,-0.02351753558647579,47064
CANDOR,CANDOR-9-97087c78-d2a1-4959-b72a-80f858a0afac.parquet,Intercept,0.23091098847676844,47064
CANDOR,CANDOR-9-97087c78-d2a1-4959-b72a-80f858a0afac.parquet,self,-0.42572607282830915,47064
CANDOR,CANDOR-9-97087c78-d2a1-4959-b72a-80f858a0afac.parquet,other,0.1843801073444436,47064
CANDOR,CANDOR-9-97087c78-d2a1-4959-b72a-80f858a0afac.parquet,turn_delta_self,0.06791320308893914,47064
CANDOR,CANDOR-9-97087c78-d2a1-4959-b72a-80f858a0afac.parquet,turn_delta_other,-0.007694986200405449,47064
CORAAL,CORAAL-se0_ag2_f_02_1ROC-se0-ag2.parquet,nx,0.16289433993894364,199539
CORAAL,CORAAL-se0_ag2_f_02_1ROC-se0-ag2.parquet,ny,-0.024760730544800828,199539
CORAAL,CORAAL-se0_ag2_f_02_1ROC-se0-ag2.parquet,Intercept,-0.2244853203826425,199539
CORAAL,CORAAL-se0_ag2_f_02_1ROC-se0-ag2.parquet,self,-0.09202184234927178,199539
CORAAL,CORAAL-se0_ag2_f_02_1ROC-se0-ag2.parquet,other,0.12618061608197306,199539
CORAAL,CORAAL-se0_ag2_f_02_1ROC-se0-ag2.parquet,turn_delta_self,0.012955212608912232,199539
CORAAL,CORAAL-se0_ag2_f_02_1ROC-se0-ag2.parquet,turn_delta_other,0.001144124842512136,199539
CANDOR,CANDOR-25-9896ff79-163a-4954-bb77-9b93128f5c4e.parquet,nx,0.13788366455530543,51925
CANDOR,CANDOR-25-9896ff79-163a-4954-bb77-9b93128f5c4e.parquet,ny,-0.022009851167066472,51925
CANDOR,CANDOR-25-9896ff79-163a-4954-bb77-9b93128f5c4e.parquet,Intercept,-0.023527202468951,51925
CANDOR,CANDOR-25-9896ff79-163a-4954-bb77-9b93128f5c4e.parquet,self,-0.08706650156379425,51925
CANDOR,CANDOR-25-9896ff79-163a-4954-bb77-9b93128f5c4e.parquet,other,-0.056047228489313275,51925
CANDOR,CANDOR-25-9896ff79-163a-4954-bb77-9b93128f5c4e.parquet,turn_delta_self,0.0018591895381214613,51925
CANDOR,CANDOR-25-9896ff79-163a-4954-bb77-9b93128f5c4e.parquet,turn_delta_other,0.001953831126851884,51925
CABNC,CABNC-KB0RE00C-KB0.parquet,nx,0.2233322063555818,21200
CABNC,CABNC-KB0RE00C-KB0.parquet,ny,-0.02666652798358163,21200
CABNC,CABNC-KB0RE00C-KB0.parquet,Intercept,-0.7453039181498081,21200
CABNC,CABNC-KB0RE00C-KB0.parquet,self,-0.03534412328799938,21200
CABNC,CABNC-KB0RE00C-KB0.parquet,other,1.1081577197154997,21200
CABNC,CABNC-KB0RE00C-KB0.parquet,turn_delta_self,0.05281084978890381,21200
CABNC,CABNC-KB0RE00C-KB0.parquet,turn_delta_other,-0.1912525394468307,21200
CABNC,CABNC-KC9RE019-KC9.parquet,nx,0.17883449201071672,189
CABNC,CABNC-KC9RE019-KC9.parquet,ny,-0.018469266817983818,189
CABNC,CABNC-KC9RE019-KC9.parquet,Intercept,-0.11617189296381215,189
CABNC,CABNC-KC9RE019-KC9.parquet,self,-0.10064940219724715,189
CABNC,CABNC-KC9RE019-KC9.parquet,other,-0.2921843457441773,189
CABNC,CABNC-KC9RE019-KC9.parquet,turn_delta_self,-0.07968194717349306,189
CABNC,CABNC-KC9RE019-KC9.parquet,turn_delta_other,0.11154861842925262,189
CABNC,CABNC-KDARE03L-KDA.parquet,nx,0.13128911251474398,119
CABNC,CABNC-KDARE03L-KDA.parquet,ny,-0.008367980975846352,119
