corpus,cid,param,beta,k
CANDOR,CANDOR-25-d9e8d519-9917-4fa8-b79d-ead1153765ae.parquet,self,-0.34536218003981217,24412
CANDOR,CANDOR-25-d9e8d519-9917-4fa8-b79d-ead1153765ae.parquet,other,-0.30932888080891635,24412
CANDOR,CANDOR-25-d9e8d519-9917-4fa8-b79d-ead1153765ae.parquet,turn_delta,0.02217429616201074,24412
CANDOR,CANDOR-0-1418f25e-a014-4119-9d6c-b67cdbe90b94.parquet,nx,0.13280188655163525,32828
CANDOR,CANDOR-0-1418f25e-a014-4119-9d6c-b67cdbe90b94.parquet,Intercept,-0.4905942051500158,32828
CANDOR,CANDOR-0-1418f25e-a014-4119-9d6c-b67cdbe90b94.parquet,self,-0.13461361802641167,32828
CANDOR,CANDOR-0-1418f25e-a014-4119-9d6c-b67cdbe90b94.parquet,other,-0.03178227981073411,32828
CANDOR,CANDOR-0-1418f25e-a014-4119-9d6c-b67cdbe90b94.parquet,turn_delta,0.023861613392487123,32828
CANDOR,CANDOR-31-ce2e8759-15dc-4b8a-86bb-cf47fe62d37b.parquet,nx,0.10995738152004328,31242
CANDOR,CANDOR-31-ce2e8759-15dc-4b8a-86bb-cf47fe62d37b.parquet,Intercept,0.0573140380718135,31242
CANDOR,CANDOR-31-ce2e8759-15dc-4b8a-86bb-cf47fe62d37b.parquet,self,-0.29087483838594963,31242
CANDOR,CANDOR-31-ce2e8759-15dc-4b8a-86bb-cf47fe62d37b.parquet,other,-0.08016542292332793,31242
CANDOR,CANDOR-31-ce2e8759-15dc-4b8a-86bb-cf47fe62d37b.parquet,turn_delta,-0.007143034996546984,31242
CABNC,CABNC-KBKRE06U-KBK.parquet,nx,0.16334173394628246,757
CABNC,CABNC-KBKRE06U-KBK.parquet,Intercept,-0.3586423752396396,757
CABNC,CABNC-KBKRE06U-KBK.parquet,self,-0.21672394759634464,757
CABNC,CABNC-KBKRE06U-KBK.parquet,other,-0.12565652423408658,757
CABNC,CABNC-KBKRE06U-KBK.parquet,turn_delta,0.0007409279812658962,757
CABNC,CABNC-KE3RE046-KE3.parquet,nx,0.1692250724938122,1159
CABNC,CABNC-KE3RE046-KE3.parquet,Intercept,-0.4047142120630926,1159
CABNC,CABNC-KE3RE046-KE3.parquet,self,-0.007663804864307254,1159
CABNC,CABNC-KE3RE046-KE3.parquet,other,-0.013700706856751463,1159
CABNC,CABNC-KE3RE046-KE3.parquet,turn_delta,-0.0032413460930023293,1159
CABNC,CABNC-KBKRE00U-KBK.parquet,nx,0.20054139710292038,412
CABNC,CABNC-KBKRE00U-KBK.parquet,Intercept,-0.7466732767901599,412
CABNC,CABNC-KBKRE00U-KBK.parquet,self,-0.12805201863014415,412
CABNC,CABNC-KBKRE00U-KBK.parquet,other,0.20514668353101043,412
CABNC,CABNC-KBKRE00U-KBK.parquet,turn_delta,0.027308943529622844,412
CORAAL,CORAAL-se1_ag4_m_02_1DCB-se1-ag4.parquet,nx,0.13353056754858086,78020
CORAAL,CORAAL-se1_ag4_m_02_1DCB-se1-ag4.parquet,Intercept,-0.2077159368654005,78020
CORAAL,CORAAL-se1_ag4_m_02_1DCB-se1-ag4.parquet,self,-0.3218748560316529,78020
CORAAL,CORAAL-se1_ag4_m_02_1DCB-se1-ag4.parquet,other,-0.14816767366975234,78020
CORAAL,CORAAL-se1_ag4_m_02_1DCB-se1-ag4.parquet,turn_delta,0.020452680031065183,78020
CANDOR,CANDOR-22-956c58d0-48d4-4f4a-8cee-95c4b2df5e58.parquet,nx,0.13136077059415327,24606
CANDOR,CANDOR-22-956c58d0-48d4-4f4a-8cee-95c4b2df5e58.parquet,Intercept,-0.3810185966347459,24606
CANDOR,CANDOR-22-956c58d0-48d4-4f4a-8cee-95c4b2df5e58.parquet,self,-0.21696656340134715,24606
CANDOR,CANDOR-22-956c58d0-48d4-4f4a-8cee-95c4b2df5e58.parquet,other,-0.15643024587031654,24606
CANDOR,CANDOR-22-956c58d0-48d4-4f4a-8cee-95c4b2df5e58.parquet,turn_delta,0.008338667029597829,24606
CANDOR,CANDOR-7-24292f26-1133-4475-ac34-37230db54f33.parquet,nx,0.14941553282965556,32402
CANDOR,CANDOR-7-24292f26-1133-4475-ac34-37230db54f33.parquet,Intercept,-0.6492816111751081,32402
CANDOR,CANDOR-7-24292f26-1133-4475-ac34-37230db54f33.parquet,self,-0.06316627129757972,32402
CANDOR,CANDOR-7-24292f26-1133-4475-ac34-37230db54f33.parquet,other,-0.008915931863351692,32402
CANDOR,CANDOR-7-24292f26-1133-4475-ac34-37230db54f33.parquet,turn_delta,-0.020093854095342683,32402
callhome,callhome-6045.parquet,nx,0.15884039864022473,23011
callhome,callhome-6045.parquet,Intercept,-0.4517314766244485,23011
callhome,callhome-6045.parquet,self,-0.06647576893560793,23011
callhome,callhome-6045.parquet,other,0.03812710594172628,23011
callhome,callhome-6045.parquet,turn_delta,0.0032327587401475297,23011
CABNC,CABNC-KE2RE00J-KE2.parquet,nx,0.14986717952445322,90
CABNC,CABNC-KE2RE00J-KE2.parquet,Intercept,-0.35736906695599785,90
CABNC,CABNC-KE2RE00J-KE2.parquet,self,0.2734940114018485,90
CABNC,CABNC-KE2RE00J-KE2.parquet,other,0.26526266346897315,90
CABNC,CABNC-KE2RE00J-KE2.parquet,turn_delta,-0.32880895466678156,90
grace,transcript4720.parquet,nx,0.18426310671750962,26917
grace,transcript4720.parquet,Intercept,-0.662415329157318,26917
grace,transcript4720.parquet,self,-0.13520377214537627,26917
grace,transcript4720.parquet,other,-0.12324139244712319,26917
grace,transcript4720.parquet,turn_delta,0.03758700721218908,26917
CABNC,CABNC-KCDRE02J-KCD.parquet,nx,0.17914892996611206,880
CABNC,CABNC-KCDRE02J-KCD.parquet,Intercept,-0.6824193019224974,880
CABNC,CABNC-KCDRE02J-KCD.parquet,self,-0.4477507884705788,880
CABNC,CABNC-KCDRE02J-KCD.parquet,other,0.8622924510927873,880
CABNC,CABNC-KCDRE02J-KCD.parquet,turn_delta,-0.0273494901589598,880
CORAAL,CORAAL-se0_ag2_m_01_1ROC-se0-ag2.parquet,nx,0.1588256730737294,23039
CORAAL,CORAAL-se0_ag2_m_01_1ROC-se0-ag2.parquet,Intercept,-0.45546490545154966,23039
CORAAL,CORAAL-se0_ag2_m_01_1ROC-se0-ag2.parquet,self,-0.05878652998883916,23039
CORAAL,CORAAL-se0_ag2_m_01_1ROC-se0-ag2.parquet,other,0.04775917314402971,23039
CORAAL,CORAAL-se0_ag2_m_01_1ROC-se0-ag2.parquet,turn_delta,0.013577204508289536,23039
SCoSE,SCoSE-mary-chipmunk.parquet,nx,0.12848140334487312,572
SCoSE,SCoSE-mary-chipmunk.parquet,Intercept,-0.12670241070659186,572
SCoSE,SCoSE-mary-chipmunk.parquet,self,-0.19783841590851678,572
SCoSE,SCoSE-mary-chipmunk.parquet,other,-0.11089844941017205,572
SCoSE,SCoSE-mary-chipmunk.parquet,turn_delta,-0.012001038147760167,572
CANDOR,CANDOR-32-8e525c27-7d72-4aad-84fc-7bffbe15a0c3.parquet,nx,0.15293301596721628,34727
CANDOR,CANDOR-32-8e525c27-7d72-4aad-84fc-7bffbe15a0c3.parquet,Intercept,-0.8653903698664949,34727
CANDOR,CANDOR-32-8e525c27-7d72-4aad-84fc-7bffbe15a0c3.parquet,self,-0.3057605622733419,34727
CANDOR,CANDOR-32-8e525c27-7d72-4aad-84fc-7bffbe15a0c3.parquet,other,0.1864934923230004,34727
CANDOR,CANDOR-32-8e525c27-7d72-4aad-84fc-7bffbe15a0c3.parquet,turn_delta,0.04088443049104246,34727
CANDOR,CANDOR-8-f458c2ea-1713-41ac-b586-948176c1ab81.parquet,nx,0.13093537843565295,24410
CANDOR,CANDOR-8-f458c2ea-1713-41ac-b586-948176c1ab81.parquet,Intercept,-0.3121893941348895,24410
CANDOR,CANDOR-8-f458c2ea-1713-41ac-b586-948176c1ab81.parquet,self,-0.6001155896061336,24410
CANDOR,CANDOR-8-f458c2ea-1713-41ac-b586-948176c1ab81.parquet,other,-0.08331887957798437,24410
CANDOR,CANDOR-8-f458c2ea-1713-41ac-b586-948176c1ab81.parquet,turn_delta,0.03809882150542811,24410
grace,transcript6830.parquet,nx,0.16409879373083394,62165
grace,transcript6830.parquet,Intercept,-0.44135266602437334,62165
grace,transcript6830.parquet,self,0.09432855946081764,62165
grace,transcript6830.parquet,other,0.10914810061193846,62165
grace,transcript6830.parquet,turn_delta,-0.0007719981672562543,62165
CABNC,CABNC-KE2RE02Y-KE2.parquet,nx,0.2329114611880791,412
CABNC,CABNC-KE2RE02Y-KE2.parquet,Intercept,-1.3802229272322208,412
CABNC,CABNC-KE2RE02Y-KE2.parquet,self,0.46281552890520705,412
CABNC,CABNC-KE2RE02Y-KE2.parquet,other,0.2396297603239639,412
CABNC,CABNC-KE2RE02Y-KE2.parquet,turn_delta,-0.054211537336588504,412
CABNC,CABNC-KC4RE00F-KC4.parquet,nx,0.16265815560514965,104
CABNC,CABNC-KC4RE00F-KC4.parquet,Intercept,-0.5370253749341363,104
CABNC,CABNC-KC4RE00F-KC4.parquet,self,-0.2280260851177964,104
CABNC,CABNC-KC4RE00F-KC4.parquet,other,-0.19287983932742353,104
CABNC,CABNC-KC4RE00F-KC4.parquet,turn_delta,0.0663863425358514,104
CABNC,CABNC-KE3RE017-KE3.parquet,nx,0.1695782374631385,1474
CABNC,CABNC-KE3RE017-KE3.parquet,Intercept,-0.5302164899781808,1474
CABNC,CABNC-KE3RE017-KE3.parquet,self,-0.06527876860369182,1474
CABNC,CABNC-KE3RE017-KE3.parquet,other,0.043504498821222,1474
CABNC,CABNC-KE3RE017-KE3.parquet,turn_delta,0.01596773107402778,1474
CANDOR,CANDOR-32-1f44e120-3ee1-46dc-9288-0f1b1d03cdbf.parquet,nx,0.13541844894008767,25871
CANDOR,CANDOR-32-1f44e120-3ee1-46dc-9288-0f1b1d03cdbf.parquet,Intercept,-0.5006484018566125,25871
CANDOR,CANDOR-32-1f44e120-3ee1-46dc-9288-0f1b1d03cdbf.parquet,self,-0.11496510831068604,25871
CANDOR,CANDOR-32-1f44e120-3ee1-46dc-9288-0f1b1d03cdbf.parquet,other,-0.03371059556203979,25871
CANDOR,CANDOR-32-1f44e120-3ee1-46dc-9288-0f1b1d03cdbf.parquet,turn_delta,0.016341771082547876,25871
CABNC,CABNC-KCHRE00F-KCH.parquet,nx,0.17827264435949808,1887
CABNC,CABNC-KCHRE00F-KCH.parquet,Intercept,-0.4032013726519635,1887
CABNC,CABNC-KCHRE00F-KCH.parquet,self,-0.3531423729779902,1887
CABNC,CABNC-KCHRE00F-KCH.parquet,other,-0.3199249461280154,1887
CABNC,CABNC-KCHRE00F-KCH.parquet,turn_delta,-0.018582710539894246,1887
CANDOR,CANDOR-28-219f3a85-89a1-4611-8d80-61f63910ec13.parquet,nx,0.10995319966622544,25752
CANDOR,CANDOR-28-219f3a85-89a1-4611-8d80-61f63910ec13.parquet,Intercept,0.3626560537693029,25752
CANDOR,CANDOR-28-219f3a85-89a1-4611-8d80-61f63910ec13.parquet,self,-0.45510343027827466,25752
CANDOR,CANDOR-28-219f3a85-89a1-4611-8d80-61f63910ec13.parquet,other,-0.1647001938521114,25752
CANDOR,CANDOR-28-219f3a85-89a1-4611-8d80-61f63910ec13.parquet,turn_delta,0.002585980429351997,25752
CABNC,CABNC-KBKRE063-KBK.parquet,nx,0.15248871479610357,135
CABNC,CABNC-KBKRE063-KBK.parquet,Intercept,-0.32384521802903404,135
CABNC,CABNC-KBKRE063-KBK.parquet,self,-0.44875897418121086,135
CABNC,CABNC-KBKRE063-KBK.parquet,other,-0.4437269210297867,135
CABNC,CABNC-KBKRE063-KBK.parquet,turn_delta,0.1532835314224843,135
CABNC,CABNC-KC3RE00D-KC3.parquet,nx,0.18869279423796473,7038
CABNC,CABNC-KC3RE00D-KC3.parquet,Intercept,-0.5567658165882812,7038
CABNC,CABNC-KC3RE00D-KC3.parquet,self,-0.06505645196319541,7038
CABNC,CABNC-KC3RE00D-KC3.parquet,other,0.08540772028518305,7038
CABNC,CABNC-KC3RE00D-KC3.parquet,turn_delta,-0.008137480775108527,7038
CABNC,CABNC-KE2RE010-KE2.parquet,nx,0.16654556192301273,5
CABNC,CABNC-KE2RE010-KE2.parquet,Intercept,-0.34875989579378996,5
CABNC,CABNC-KE2RE010-KE2.parquet,self,0.09436021082233932,5
CABNC,CABNC-KE2RE010-KE2.parquet,other,-0.28632217550365896,5
CABNC,CABNC-KE2RE010-KE2.parquet,turn_delta,-0.0947981215114154,5
CABNC,CABNC-KE2RE04G-KE2.parquet,nx,0.16261815180152664,5245
CABNC,CABNC-KE2RE04G-KE2.parquet,Intercept,-0.3731093925692196,5245
CABNC,CABNC-KE2RE04G-KE2.parquet,self,-0.03943193036570054,5245
CABNC,CABNC-KE2RE04G-KE2.parquet,other,-0.03698630586560744,5245
CABNC,CABNC-KE2RE04G-KE2.parquet,turn_delta,-0.0011017663847507667,5245
CANDOR,CANDOR-23-2fbdb5cb-d160-4a13-927e-82b93c4adea7.parquet,nx,0.1639220589296014,11046
CANDOR,CANDOR-23-2fbdb5cb-d160-4a13-927e-82b93c4adea7.parquet,Intercept,-0.9775448173836829,11046
CANDOR,CANDOR-23-2fbdb5cb-d160-4a13-927e-82b93c4adea7.parquet,self,-0.14036002165902406,11046
CANDOR,CANDOR-23-2fbdb5cb-d160-4a13-927e-82b93c4adea7.parquet,other,-0.09141696684060296,11046
CANDOR,CANDOR-23-2fbdb5cb-d160-4a13-927e-82b93c4adea7.parquet,turn_delta,-0.020822466723040528,11046
CABNC,CABNC-KB1RE00B-KB1.parquet,nx,0.17237196690927983,119
CABNC,CABNC-KB1RE00B-KB1.parquet,Intercept,-0.47491556046856465,119
CABNC,CABNC-KB1RE00B-KB1.parquet,self,0.8838471427639379,119
CABNC,CABNC-KB1RE00B-KB1.parquet,other,1.1550689830809842,119
CABNC,CABNC-KB1RE00B-KB1.parquet,turn_delta,-0.7712814649719524,119
CABNC,CABNC-KC2RE00D-KC2.parquet,nx,0.21343317453108,3440
CABNC,CABNC-KC2RE00D-KC2.parquet,Intercept,-0.7182144778499204,3440
CABNC,CABNC-KC2RE00D-KC2.parquet,self,-0.24945901995109507,3440
CABNC,CABNC-KC2RE00D-KC2.parquet,other,0.2386315729858725,3440
CABNC,CABNC-KC2RE00D-KC2.parquet,turn_delta,0.037695550664065325,3440
CANDOR,CANDOR-3-aa0147bf-1fd7-4690-a994-8d5a31592cf5.parquet,nx,0.1458565626679899,70880
CANDOR,CANDOR-3-aa0147bf-1fd7-4690-a994-8d5a31592cf5.parquet,Intercept,-0.6833903215072442,70880
CANDOR,CANDOR-3-aa0147bf-1fd7-4690-a994-8d5a31592cf5.parquet,self,-0.2424945376571243,70880
CANDOR,CANDOR-3-aa0147bf-1fd7-4690-a994-8d5a31592cf5.parquet,other,-0.04363760285022022,70880
